query,experiment,miss_count
Какие элементы соединены в этой схеме?,Hybrid: BGE + CLIP,45
Какие элементы соединены в этой схеме?,Hybrid: BGE + SigLIP,45
Какие элементы соединены в этой схеме?,Text Only (BGE),45
Какие элементы соединены между собой в этой схеме?,Text Only (BGE),26
Какие элементы соединены между собой в этой схеме?,Hybrid: BGE + CLIP,26
Какие элементы соединены между собой в этой схеме?,Hybrid: BGE + SigLIP,26
Какие элементы соединены между собой на этой схеме?,Text Only (BGE),14
Какие элементы соединены между собой на этой схеме?,Hybrid: BGE + SigLIP,14
Какие элементы соединены между собой на этой схеме?,Hybrid: BGE + CLIP,14
Какие элементы связаны между собой в этой схеме?,Hybrid: BGE + SigLIP,7
Какие элементы связаны между собой в этой схеме?,Hybrid: BGE + CLIP,7
Какие элементы связаны между собой в этой схеме?,Text Only (BGE),7
"На схеме показаны два элемента, которые соединены последовательно.",Vis: CLIP (Answer),4
"На схеме показаны два элемента, которые соединены последовательно.",Vis: SigLIP (Answer),4
"Элементы не соединены между собой, так как на схеме отсутствуют линии связи.",Vis: CLIP (Answer),3
Какие элементы соединены в этой электрической схеме?,Hybrid: BGE + SigLIP,3
Какие элементы соединены в данной схеме?,Text Only (BGE),3
Какие элементы связаны в этой схеме?,Hybrid: BGE + CLIP,3
"Элементы не соединены между собой, так как на схеме отсутствуют линии связи.",Vis: SigLIP (Answer),3
Какие элементы соединены в данной схеме?,Hybrid: BGE + SigLIP,3
Какие элементы соединены в этой электрической схеме?,Hybrid: BGE + CLIP,3
Какие элементы соединены в этой электрической схеме?,Text Only (BGE),3
Какие элементы связаны в этой схеме?,Hybrid: BGE + SigLIP,3
Какие элементы связаны в этой схеме?,Text Only (BGE),3
"На схеме изображены два элемента, которые соединены последовательно.",Vis: SigLIP (Answer),3
"На схеме изображены два элемента, которые соединены последовательно.",Vis: CLIP (Answer),3
Какие элементы соединены в данной схеме?,Hybrid: BGE + CLIP,3
0.001 Ом,Vis: CLIP (Answer),2
"На схеме показаны два элемента, которые соединены между собой.",Vis: SigLIP (Answer),2
"На схеме показаны два элемента, которые соединены между собой.",Vis: CLIP (Answer),2
